z(mm);z;Bexp
145;0,145;1,46
135;0,135;1,50
125;0,125;1,55
115;0,115;1,58
105;0,105;1,62
95;0,095;1,66
85;0,085;1,68
75;0,075;1,70
65;0,065;1,71
55;0,055;1,70
45;0,045;1,71
35;0,035;1,71
25;0,025;1,70
15;0,015;1,71
5;0,005;1,70
0;0,000;1,70
-10;-0,010;1,69
-20;-0,020;1,69
-30;-0,030;1,69
-40;-0,040;1,68
-50;-0,050;1,68
-60;-0,060;1,67
-70;-0,070;1,66
-80;-0,080;1,64
-90;-0,090;1,62
-100;-0,100;1,60
-110;-0,110;1,55
-120;-0,120;1,51
-130;-0,130;1,45
-140;-0,140;1,40
-150;-0,150;1,34
-160;-0,160;1,28
-170;-0,170;1,21
-180;-0,180;1,14
-190;-0,190;1,07
-200;-0,200;1,01
-210;-0,210;0,95
-220;-0,220;0,89
-230;-0,230;0,82
-240;-0,240;0,77
-250;-0,250;0,67
-260;-0,260;0,62
-270;-0,270;0,57
-280;-0,280;0,52
-290;-0,290;0,48
-300;-0,300;0,45
-310;-0,310;0,42
-320;-0,320;0,39
-330;-0,330;0,37
-340;-0,340;0,34
