z(mm);z;Bexp(mT);Bexp;Bteo
175;0,175;1,10;0,001100;0,001114
165;0,165;1,18;0,001180;0,001194
155;0,155;1,25;0,001250;0,001276
145;0,145;1,34;0,001340;0,001362
135;0,135;1,43;0,001430;0,001450
125;0,125;1,51;0,001510;0,001539
115;0,115;1,60;0,001600;0,001627
105;0,105;1,68;0,001680;0,001715
95;0,095;1,77;0,001770;0,001800
85;0,085;1,85;0,001850;0,001882
75;0,075;1,92;0,001920;0,001958
65;0,065;2,00;0,002000;0,002027
55;0,055;2,05;0,002050;0,002089
45;0,045;2,08;0,002080;0,002142
35;0,035;2,13;0,002130;0,002185
25;0,025;2,16;0,002160;0,002218
15;0,015;2,17;0,002170;0,002240
5;0,005;2,17;0,002170;0,002252
0;0,000;2,17;0,002170;0,002253
-10;-0,010;2,16;0,002160;0,002247
-20;-0,020;2,13;0,002130;0,002231
-30;-0,030;2,10;0,002100;0,002203
-40;-0,040;2,05;0,002050;0,002165
-50;-0,050;2,00;0,002000;0,002116
-60;-0,060;1,94;0,001940;0,002059
-70;-0,070;1,86;0,001860;0,001993
-80;-0,080;1,78;0,001780;0,001920
-90;-0,090;1,69;0,001690;0,001842
-100;-0,100;1,62;0,001620;0,001758
-110;-0,110;1,54;0,001540;0,001672
-120;-0,120;1,45;0,001450;0,001583
-130;-0,130;1,36;0,001360;0,001494
-140;-0,140;1,27;0,001270;0,001406
-150;-0,150;1,20;0,001200;0,001319
-160;-0,160;1,11;0,001110;0,001235
-170;-0,170;1,04;0,001040;0,001153
-180;-0,180;0,96;0,000960;0,001076
-190;-0,190;0,90;0,000900;0,001002
-200;-0,200;0,83;0,000830;0,000932
-210;-0,210;0,76;0,000760;0,000867
-220;-0,220;0,71;0,000710;0,000806
-230;-0,230;0,66;0,000660;0,000749
-240;-0,240;0,61;0,000610;0,000696
-250;-0,250;0,56;0,000560;0,000647
-260;-0,260;0,52;0,000520;0,000601
-270;-0,270;0,49;0,000490;0,000559
-280;-0,280;0,45;0,000450;0,000520
-290;-0,290;0,42;0,000420;0,000484
-300;-0,300;0,40;0,000400;0,000451
-310;-0,310;0,38;0,000380;0,000421
