Imicro1;I1;T1;LnI1;sLnI1;Imicro2;I2;T2;LnI2;sLnI2;Imicro3;I3;T3;LnI3;sLnI3;Imicro4;I4;T4;LnI4;sLnI4
2,2;0,0000022;0,0;-13,027053;0,045455;1,4;0,0000014;0,0;-13,479038;0,071429;3,1;0,0000031;0,0;-12,684108;0,032258;2,0;0,0000020;0,0;-13,122363;0,050000
2,1;0,0000021;2,7;-13,073573;0,047619;1,3;0,0000013;14,3;-13,553146;0,076923;3,0;0,0000030;3,5;-12,716898;0,033333;1,9;0,0000019;7,3;-13,173657;0,052632
2,0;0,0000020;9,0;-13,122363;0,050000;1,2;0,0000012;28,9;-13,633189;0,083333;2,9;0,0000029;6,9;-12,750800;0,034483;1,8;0,0000018;14,7;-13,227724;0,055556
1,9;0,0000019;14,6;-13,173657;0,052632;1,1;0,0000011;46,5;-13,720200;0,090909;2,8;0,0000028;9,8;-12,785891;0,035714;1,7;0,0000017;23,3;-13,284882;0,058824
1,8;0,0000018;23,1;-13,227724;0,055556;1,0;0,0000010;62,9;-13,81551;0,100000;2,7;0,0000027;13,2;-12,822259;0,037037;1,6;0,0000016;30,8;-13,345507;0,062500
1,7;0,0000017;30,4;-13,284882;0,058824;0,9;0,0000009;83,2;-13,92087;0,111111;2,6;0,0000026;16,5;-12,859999;0,038462;1,5;0,0000015;40,7;-13,410045;0,066667
1,6;0,0000016;38,4;-13,345507;0,062500;0,8;0,0000008;103,4;-14,03865;0,125000;2,5;0,0000025;19,8;-12,899220;0,040000;1,4;0,0000014;51,2;-13,479038;0,071429
1,5;0,0000015;47,0;-13,410045;0,066667;0,7;0,0000007;128,1;-14,17219;0,142857;2,4;0,0000024;24,7;-12,940042;0,041667;1,3;0,0000013;61,3;-13,553146;0,076923
1,4;0,0000014;56,5;-13,479038;0,071429;0,6;0,0000006;153,7;-14,32634;0,166667;2,3;0,0000023;29,3;-12,982601;0,043478;1,2;0,0000012;70,9;-13,633189;0,083333
1,3;0,0000013;64,7;-13,553146;0,076923;0,5;0,0000005;184,1;-14,50866;0,200000;2,2;0,0000022;32,3;-13,027053;0,045455;1,1;0,0000011;82,1;-13,720200;0,090909
1,2;0,0000012;75,6;-13,633189;0,083333;0,4;0,0000004;218,3;-14,73180;0,250000;2,1;0,0000021;37,8;-13,073573;0,047619;1,0;0,0000010;95,7;-13,81551;0,100000
1,1;0,0000011;87,6;-13,720200;0,090909;0,3;0,0000003;262,0;-15,01948;0,333333;2,0;0,0000020;41,5;-13,122363;0,050000;0,9;0,0000009;112,2;-13,92087;0,111111
1,0;0,0000010;97,6;-13,81551;0,100000;0,2;0,0000002;318,2;-15,42495;0,500000;1,9;0,0000019;46,7;-13,173657;0,052632;0,8;0,0000008;124,7;-14,03865;0,125000
0,9;0,0000009;111,3;-13,92087;0,111111;0,1;0,0000001;392,7;-16,11810;1,000000;1,8;0,0000018;52,1;-13,227724;0,055556;0,7;0,0000007;140,3;-14,17219;0,142857
0,8;0,0000008;126,7;-14,03865;0,125000;;;;;;1,7;0,0000017;57,6;-13,284882;0,058824;0,6;0,0000006;163,0;-14,32634;0,166667
0,7;0,0000007;141,2;-14,17219;0,142857;;;;;;1,6;0,0000016;63,2;-13,345507;0,062500;0,5;0,0000005;181,9;-14,50866;0,200000
0,6;0,0000006;162,3;-14,32634;0,166667;;;;;;1,5;0,0000015;69,8;-13,410045;0,066667;0,4;0,0000004;206,5;-14,73180;0,250000
0,5;0,0000005;183,4;-14,50866;0,200000;;;;;;1,4;0,0000014;75,7;-13,479038;0,071429;0,3;0,0000003;239,8;-15,01948;0,333333
0,4;0,0000004;205,6;-14,73180;0,250000;;;;;;1,3;0,0000013;83,4;-13,553146;0,076923;0,2;0,0000002;277,6;-15,42495;0,500000
0,3;0,0000003;235,9;-15,01948;0,333333;;;;;;1,2;0,0000012;90,9;-13,633189;0,083333;0,1;0,0000001;329,5;-16,11810;1,000000
0,2;0,0000002;274,3;-15,42495;0,500000;;;;;;1,1;0,0000011;99,8;-13,720200;0,090909;;;;;
0,1;0,0000001;350,2;-16,11810;1,000000;;;;;;1,0;0,0000010;107,6;-13,81551;0,100000;;;;;
;;;;;;;;;;0,9;0,0000009;117,8;-13,92087;0,111111;;;;;
;;;;;;;;;;0,8;0,0000008;130,8;-14,03865;0,125000;;;;;
;;;;;;;;;;0,7;0,0000007;142,3;-14,17219;0,142857;;;;;
;;;;;;;;;;0,6;0,0000006;157,9;-14,32634;0,166667;;;;;
;;;;;;;;;;0,5;0,0000005;175,4;-14,50866;0,200000;;;;;
;;;;;;;;;;0,4;0,0000004;196,3;-14,73180;0,250000;;;;;
;;;;;;;;;;0,3;0,0000003;223,5;-15,01948;0,333333;;;;;
;;;;;;;;;;0,2;0,0000002;263,2;-15,42495;0,500000;;;;;
;;;;;;;;;;0,1;0,0000001;328,7;-16,11810;1,000000;;;;;
