Imicro1;I1;T1;Imicro2;I2;T2;Imicro3;I3;T3;Imicro4;I4;T4
2,0;0,0000020;0,00;2,6;0,0000026;0,00;2,3;0,0000023;0,00;1,4;0,0000014;0,00
1,9;0,0000019;3,37;2,5;0,0000025;3,34;2,2;0,0000022;2,13;1,3;0,0000013;1,88
1,8;0,0000018;5,55;2,4;0,0000024;4,84;2,1;0,0000021;5,09;1,2;0,0000012;5,32
1,7;0,0000017;8,09;2,3;0,0000023;6,55;2,0;0,0000020;6,19;1,1;0,0000011;9,61
1,6;0,0000016;10,18;2,2;0,0000022;8,62;1,9;0,0000019;10,14;1,0;0,0000010;13,37
1,5;0,0000015;13,27;2,1;0,0000021;10,90;1,8;0,0000018;12,52;0,9;0,0000009;17,81
1,4;0,0000014;16,02;2,0;0,0000020;12,99;1,7;0,0000017;13,77;0,8;0,0000008;23,54
1,3;0,0000013;18,71;1,9;0,0000019;14,65;1,6;0,0000016;17,11;0,7;0,0000007;28,67
1,2;0,0000012;21,99;1,8;0,0000018;17,43;1,5;0,0000015;20,20;0,6;0,0000006;34,32
1,1;0,0000011;25,99;1,7;0,0000017;19,37;1,4;0,0000014;23,28;0,5;0,0000005;42,21
1,0;0,0000010;30,02;1,6;0,0000016;22,02;1,3;0,0000013;25,13;0,4;0,0000004;50,56
0,9;0,0000009;33,99;1,5;0,0000015;24,84;1,2;0,0000012;27,89;0,3;0,0000003;64,72
0,8;0,0000008;39,37;1,4;0,0000014;28,18;1,1;0,0000011;32,12;0,2;0,0000002;82,29
0,7;0,0000007;44,77;1,3;0,0000013;31,40;1,0;0,0000010;36,76;0,1;0,0000001;110,11
0,6;0,0000006;50,99;1,2;0,0000012;34,21;0,9;0,0000009;40,31;;;
0,5;0,0000005;58,27;1,1;0,0000011;38,21;0,8;0,0000008;45,24;;;
0,4;0,0000004;67,08;1,0;0,0000010;41,43;0,7;0,0000007;51,69;;;
0,3;0,0000003;77,63;0,9;0,0000009;46,18;0,6;0,0000006;58,66;;;
0,2;0,0000002;93,78;0,8;0,0000008;51,18;0,5;0,0000005;66,37;;;
0,1;0,0000001;113,53;0,7;0,0000007;56,84;0,4;0,0000004;75,23;;;
;;;0,6;0,0000006;62,67;0,3;0,0000003;86,41;;;
;;;0,5;0,0000005;70,23;0,2;0,0000002;108,92;;;
;;;0,4;0,0000004;79,16;0,1;0,0000001;137,59;;;
;;;0,3;0,0000003;91,01;;;;;;
;;;0,2;0,0000002;105,08;;;;;;
;;;0,1;0,0000001;127,21;;;;;;
