z(mm);z;Bexp(mT);Bexp;Bteo
175;0,175;1,10;0,00110;0,00111
165;0,165;1,18;0,00118;0,00119
155;0,155;1,25;0,00125;0,00128
145;0,145;1,34;0,00134;0,00136
135;0,135;1,43;0,00143;0,00145
125;0,125;1,51;0,00151;0,00154
115;0,115;1,60;0,00160;0,00163
105;0,105;1,68;0,00168;0,00172
95;0,095;1,77;0,00177;0,00180
85;0,085;1,85;0,00185;0,00188
75;0,075;1,92;0,00192;0,00196
65;0,065;2,00;0,00200;0,00203
55;0,055;2,05;0,00205;0,00209
45;0,045;2,08;0,00208;0,00214
35;0,035;2,13;0,00213;0,00219
25;0,025;2,16;0,00216;0,00222
15;0,015;2,17;0,00217;0,00224
5;0,005;2,17;0,00217;0,00225
0;0,000;2,17;0,00217;0,00225
-10;-0,010;2,16;0,00216;0,00225
-20;-0,020;2,13;0,00213;0,00223
-30;-0,030;2,10;0,00210;0,00220
-40;-0,040;2,05;0,00205;0,00217
-50;-0,050;2,00;0,00200;0,00212
-60;-0,060;1,94;0,00194;0,00206
-70;-0,070;1,86;0,00186;0,00199
-80;-0,080;1,78;0,00178;0,00192
-90;-0,090;1,69;0,00169;0,00184
-100;-0,100;1,62;0,00162;0,00176
-110;-0,110;1,54;0,00154;0,00167
-120;-0,120;1,45;0,00145;0,00158
-130;-0,130;1,36;0,00136;0,00149
-140;-0,140;1,27;0,00127;0,00141
-150;-0,150;1,20;0,00120;0,00132
-160;-0,160;1,11;0,00111;0,00124
-170;-0,170;1,04;0,00104;0,00115
-180;-0,180;0,96;0,00096;0,00108
-190;-0,190;0,90;0,00090;0,00100
-200;-0,200;0,83;0,00083;0,00093
-210;-0,210;0,76;0,00076;0,00087
-220;-0,220;0,71;0,00071;0,00081
-230;-0,230;0,66;0,00066;0,00075
-240;-0,240;0,61;0,00061;0,00070
-250;-0,250;0,56;0,00056;0,00065
-260;-0,260;0,52;0,00052;0,00060
-270;-0,270;0,49;0,00049;0,00056
-280;-0,280;0,45;0,00045;0,00052
-290;-0,290;0,42;0,00042;0,00048
-300;-0,300;0,40;0,00040;0,00045
-310;-0,310;0,38;0,00038;0,00042
