z(mm);z;Bexp(mT);Bexp;Bteo
-210;-0,210;1,25;0,00125;0,00133
-220;-0,220;1,23;0,00123;0,00131
-230;-0,230;1,19;0,00119;0,00129
-240;-0,240;1,16;0,00116;0,00125
-250;-0,250;1,11;0,00111;0,00121
-260;-0,260;1,07;0,00107;0,00116
-270;-0,270;1,02;0,00102;0,00111
-280;-0,280;0,97;0,00097;0,00106
-290;-0,290;0,91;0,00091;0,00100
-300;-0,300;0,86;0,00086;0,00095
-310;-0,310;0,80;0,00080;0,00089
-320;-0,320;0,75;0,00075;0,00084
-330;-0,330;0,70;0,00070;0,00078
-340;-0,340;0,65;0,00065;0,00073
-350;-0,350;0,59;0,00059;0,00068
-360;-0,360;0,56;0,00056;0,00063
-370;-0,370;0,52;0,00052;0,00059
-380;-0,380;0,48;0,00048;0,00055
-390;-0,390;0,45;0,00045;0,00051
-400;-0,400;0,42;0,00042;0,00048
-410;-0,410;0,38;0,00038;0,00044
-420;-0,420;0,36;0,00036;0,00041
-430;-0,430;0,33;0,00033;0,00038
-440;-0,440;0,30;0,00030;0,00036
-450;-0,450;0,28;0,00028;0,00033
