Imicro1;I1;T1;LnI1;sLnI1;Imicro2;I2;T2;LnI2;sLnI2;Imicro3;I3;T3;LnI3;sLnI3;Imicro4;I4;T4;LnI4;sLnI4
1,8;0,0000018;0,0;-13,228;0,056;1,8;0,0000018;0,0;-13,228;0,056;1,8;0,0000018;0,0;-13,228;0,056;1,8;0,0000018;0,0;-13,228;0,056
1,7;0,0000017;0,8;-13,285;0,059;1,7;0,0000017;1,5;-13,285;0,059;1,7;0,0000017;5,6;-13,285;0,059;1,7;0,0000017;8,7;-13,285;0,059
1,6;0,0000016;2,7;-13,346;0,063;1,6;0,0000016;5,1;-13,346;0,063;1,6;0,0000016;16,2;-13,346;0,063;1,6;0,0000016;28,5;-13,346;0,063
1,5;0,0000015;4,2;-13,410;0,067;1,5;0,0000015;8,6;-13,410;0,067;1,5;0,0000015;27,3;-13,410;0,067;1,5;0,0000015;50,3;-13,410;0,067
1,4;0,0000014;6,3;-13,479;0,071;1,4;0,0000014;12,7;-13,479;0,071;1,4;0,0000014;39,4;-13,479;0,071;1,4;0,0000014;74,7;-13,479;0,071
1,3;0,0000013;7,7;-13,553;0,077;1,3;0,0000013;16,8;-13,553;0,077;1,3;0,0000013;52,3;-13,553;0,077;1,3;0,0000013;98,6;-13,553;0,077
1,2;0,0000012;9,6;-13,633;0,083;1,2;0,0000012;20,9;-13,633;0,083;1,2;0,0000012;66,6;-13,633;0,083;1,2;0,0000012;120,5;-13,633;0,083
1,1;0,0000011;12,3;-13,720;0,091;1,1;0,0000011;25,4;-13,720;0,091;1,1;0,0000011;80,3;-13,720;0,091;1,1;0,0000011;150,1;-13,720;0,091
1,0;0,0000010;14,8;-13,82;0,10;1,0;0,0000010;30,1;-13,82;0,10;1,0;0,0000010;98,4;-13,82;0,10;1,0;0,0000010;182,0;-13,82;0,10
0,9;0,0000009;17,5;-13,92;0,11;0,9;0,0000009;36,5;-13,92;0,11;0,9;0,0000009;117,2;-13,92;0,11;0,9;0,0000009;210,3;-13,92;0,11
0,8;0,0000008;20,7;-14,04;0,13;0,8;0,0000008;43,9;-14,04;0,13;0,8;0,0000008;135,6;-14,04;0,13;0,8;0,0000008;270,4;-14,04;0,13
0,7;0,0000007;24,3;-14,17;0,14;0,7;0,0000007;51,8;-14,17;0,14;0,7;0,0000007;158,1;-14,17;0,14;0,7;0,0000007;310,7;-14,17;0,14
0,6;0,0000006;28,4;-14,33;0,17;0,6;0,0000006;60,7;-14,33;0,17;0,6;0,0000006;183,2;-14,33;0,17;0,6;0,0000006;365,4;-14,33;0,17
0,5;0,0000005;32,3;-14,51;0,20;0,5;0,0000005;69,9;-14,51;0,20;0,5;0,0000005;216,4;-14,51;0,20;0,5;0,0000005;427,8;-14,51;0,20
0,4;0,0000004;38,9;-14,73;0,25;0,4;0,0000004;83,2;-14,73;0,25;0,4;0,0000004;260,3;-14,73;0,25;0,4;0,0000004;503,2;-14,73;0,25
0,3;0,0000003;46,5;-15,02;0,33;0,3;0,0000003;98,9;-15,02;0,33;0,3;0,0000003;304,2;-15,02;0,33;0,3;0,0000003;599,8;-15,02;0,33
0,2;0,0000002;56,4;-15,42;0,50;0,2;0,0000002;120,2;-15,42;0,50;0,2;0,0000002;372,3;-15,42;0,50;0,2;0,0000002;738,5;-15,42;0,50
0,1;0,0000001;74,3;-16,1;1,0;0,1;0,0000001;160,1;-16,1;1,0;0,1;0,0000001;491,5;-16,1;1,0;0,1;0,0000001;960,5;-16,1;1,0
