f;deltatmicro;deltat;logf;phirad;phideg
10;27600;2,76E-02;1,00;-1,73;-99,4
60;4400;4,40E-03;1,78;-1,66;-95,0
120;2000;2,00E-03;2,08;-1,51;-86,4
280;840;8,40E-04;2,45;-1,48;-84,7
400;536;5,36E-04;2,60;-1,35;-77,2
520;396;3,96E-04;2,72;-1,29;-74,1
580;340;3,40E-04;2,76;-1,24;-71,0
640;296;2,96E-04;2,81;-1,19;-68,2
700;244;2,44E-04;2,85;-1,07;-61,5
760;232;2,32E-04;2,88;-1,11;-63,5
820;220;2,20E-04;2,91;-1,13;-64,9
880;208;2,08E-04;2,94;-1,15;-65,9
940;180;1,80E-04;2,97;-1,06;-60,9
1000;160;1,60E-04;3,00;-1,01;-57,6
1060;136;1,36E-04;3,03;-0,91;-51,9
1120;132;1,32E-04;3,05;-0,93;-53,2
1180;124;1,24E-04;3,07;-0,92;-52,7
1240;116;1,16E-04;3,09;-0,90;-51,8
1300;104;1,04E-04;3,11;-0,85;-48,7
1360;96,0;9,60E-05;3,13;-0,82;-47,0
1420;88,0;8,80E-05;3,15;-0,79;-45,0
1480;84,0;8,40E-05;3,17;-0,78;-44,8
1540;79,0;7,90E-05;3,19;-0,76;-43,8
1600;75,0;7,50E-05;3,20;-0,75;-43,2
1660;72,0;7,20E-05;3,22;-0,75;-43,0
1720;66,0;6,60E-05;3,24;-0,71;-40,9
1780;63,0;6,30E-05;3,25;-0,70;-40,4
1840;59,0;5,90E-05;3,26;-0,68;-39,1
1900;56,0;5,60E-05;3,28;-0,67;-38,3
1960;53,0;5,30E-05;3,29;-0,65;-37,4
2020;49,0;4,90E-05;3,31;-0,62;-35,6
2140;42,0;4,20E-05;3,33;-0,56;-32,4
2260;39,0;3,90E-05;3,35;-0,55;-31,7
2500;34,0;3,40E-05;3,40;-0,53;-30,6
2740;27,0;2,70E-05;3,44;-0,46;-26,6
3760;15,2;1,52E-05;3,58;-0,36;-20,6
6760;6,00;6,00E-06;3,83;-0,25;-14,6
