v;sv;imca;simca;i;si;rtemp;r;srtemp;sr
1,184;0,001;6,7;0,1;6,7E-06;1E-07;176716,42;1,767E+05;2641,78;2,6E+03
2,11;0,01;12,0;0,1;1,20E-05;1E-07;175833,33;1,758E+05;1685,67;1,7E+03
3,04;0,01;17,2;0,1;1,72E-05;1E-07;176744,19;1,767E+05;1180,66;1,2E+03
4,06;0,01;23,0;0,1;2,30E-05;1E-07;176521,74;1,7652E+05;882,08;8,8E+02
5,04;0,01;28,6;0,1;2,86E-05;1E-07;176223,78;1,7622E+05;708,46;7,1E+02
6,08;0,01;34,5;0,1;3,45E-05;1E-07;176231,88;1,7623E+05;587,32;5,9E+02
7,10;0,01;40,3;0,1;4,03E-05;1E-07;176178,66;1,7618E+05;502,68;5,0E+02
8,10;0,01;46,0;0,1;4,60E-05;1E-07;176086,96;1,7609E+05;440,22;4,4E+02
9,16;0,01;52,1;0,1;5,21E-05;1E-07;175815,74;1,7582E+05;388,22;3,9E+02
10,14;0,01;57,6;0,1;5,76E-05;1E-07;176041,67;1,7604E+05;351,50;3,5E+02
