v;v1;v2;v3;imca;i;sv;sv1;sv2;sv3;si
1,063;0,233;0,289;0,523;1,30;1,3E-06;0,001;0,001;0,001;0,001;1E-07
2,05;0,451;0,558;1,011;2,50;2,5E-06;0,01;0,001;0,001;0,001;1E-07
3,04;0,671;0,830;1,502;3,80;3,8E-06;0,01;0,001;0,001;0,001;1E-07
4,06;0,894;1,106;1,990;5,10;5,1E-06;0,01;0,001;0,001;0,001;1E-07
5,04;1,110;1,374;2,47;6,30;6,3E-06;0,01;0,001;0,001;0,01;1E-07
6,12;1,347;1,667;3,00;7,70;7,7E-06;0,01;0,001;0,001;0,01;1E-07
7,08;1,558;1,928;3,47;8,90;8,9E-06;0,01;0,001;0,001;0,01;1E-07
8,07;1,777;2,19;3,96;10,2;1,02E-05;0,01;0,001;0,01;0,01;1E-07
9,00;1,970;2,44;4,42;11,3;1,13E-05;0,01;0,001;0,01;0,01;1E-07
10,08;2,21;2,74;4,95;12,7;1,27E-05;0,01;0,01;0,01;0,01;1E-07
