v;i1mca;i2mca;i3mca;imca;i1;i2;i3;i;isuma;sv;si
1,132;6,40;5,10;2,80;14,5;6,40E-06;5,10E-06;2,80E-06;1,45E-05;14,30;0,001;1E-07
2,07;11,70;9,40;5,20;26,4;1,17E-05;9,40E-06;5,20E-06;2,64E-05;26,30;0,01;1E-07
3,01;17,0;13,7;7,40;38,3;1,70E-05;1,37E-05;7,40E-06;3,83E-05;38,10;0,01;1E-07
4,04;22,9;18,5;10,2;51,6;2,29E-05;1,85E-05;1,02E-05;5,16E-05;51,60;0,01;1E-07
5,06;28,8;23,2;12,7;64,8;2,88E-05;2,32E-05;1,27E-05;6,48E-05;64,70;0,01;1E-07
6,07;34,5;27,8;15,3;77,6;3,45E-05;2,78E-05;1,53E-05;7,76E-05;77,60;0,01;1E-07
7,09;40,3;32,5;17,9;90,7;4,03E-05;3,25E-05;1,79E-05;9,07E-05;90,70;0,01;1E-07
8,08;45,9;37,0;20,4;103,4;4,59E-05;3,70E-05;2,04E-05;1,03E-04;103,30;0,01;1E-07
9,07;51,5;41,6;22,9;116,0;5,15E-05;4,16E-05;2,29E-05;1,16E-04;116,00;0,01;1E-07
10,12;57,5;46,4;25,6;129,4;5,75E-05;4,64E-05;2,56E-05;1,29E-04;129,50;0,01;1E-07
