v;v1;v23;v4;i1mca;i2mca;ima;i1;i2;i;vsuma;isuma;sv;sv1;sv23;sv4
1,032;0,1367;0,1092;0,769;0,4;0,2;0,7;4,0E-07;2,0E-07;7,0E-07;1,0424;0,6;0,001;0,0001;0,0001;0,001
2,00;0,261;0,209;1,492;0,9;0,5;1,5;9,0E-07;5,0E-07;1,5E-06;2,014;1,4;0,01;0,001;0,001;0,001
3,04;0,297;0,317;2,25;1,4;0,7;2,2;1,4E-06;7,0E-07;2,2E-06;2,864;2,1;0,01;0,001;0,001;0,01
4,06;0,531;0,423;3,02;1,9;1,0;3,0;1,9E-06;1,0E-06;3,0E-06;3,974;2,9;0,01;0,001;0,001;0,01
5,08;0,664;0,529;3,78;2,4;1,3;3,8;2,4E-06;1,3E-06;3,8E-06;4,973;3,7;0,01;0,001;0,001;0,01
6,05;0,791;0,630;4,50;2,9;1,5;4,5;2,9E-06;1,5E-06;4,5E-06;5,921;4,4;0,01;0,001;0,001;0,01
7,10;0,929;0,793;5,28;3,4;1,8;5,3;3,4E-06;1,8E-06;5,3E-06;7,002;5,2;0,01;0,001;0,001;0,01
8,11;1,059;0,845;6,03;3,9;2,1;6,1;3,9E-06;2,1E-06;6,1E-06;7,934;6;0,01;0,001;0,001;0,01
9,10;1,189;0,948;6,77;4,4;2,4;6,8;4,4E-06;2,4E-06;6,8E-06;8,907;6,8;0,01;0,001;0,001;0,01
10,12;1,323;1,054;7,53;4,9;2,6;7,6;4,9E-06;2,6E-06;7,6E-06;9,907;7,5;0,01;0,001;0,001;0,01
