0,00;0,03;0,06;0,09;0,12;0,15;0,18;0,21;0,24;0,27;T0;T3;T6;T9;T12;T15;T18;T21;T24;T27
1,241;1,281;1,346;1,449;1,576;1,725;1,909;2,090;2,295;2,489;2,482;2,562;2,692;2,898;3,152;3,450;3,818;4,180;4,590;4,978
1,241;1,282;1,345;1,448;1,577;1,725;1,905;2,088;2,303;2,488;2,482;2,564;2,690;2,896;3,154;3,450;3,810;4,176;4,606;4,976
1,240;1,281;1,346;1,449;1,575;1,725;1,905;2,089;2,297;2,487;2,480;2,562;2,692;2,898;3,150;3,450;3,810;4,178;4,594;4,974
1,241;1,281;1,346;1,449;1,574;1,728;1,903;2,090;2,297;2,490;2,482;2,562;2,692;2,898;3,148;3,456;3,806;4,180;4,594;4,980
1,241;1,282;1,347;1,449;1,575;1,728;1,902;2,088;2,293;2,488;2,482;2,564;2,694;2,898;3,150;3,456;3,804;4,176;4,586;4,976
1,242;1,280;1,345;1,449;1,576;1,727;1,902;2,089;2,296;2,493;2,484;2,560;2,690;2,898;3,152;3,454;3,804;4,178;4,592;4,986
1,242;1,281;1,346;1,450;1,577;1,726;1,902;2,086;2,294;2,484;2,484;2,562;2,692;2,900;3,154;3,452;3,804;4,172;4,588;4,968
1,241;1,280;1,346;1,450;1,582;1,728;1,901;2,089;2,295;2,492;2,482;2,560;2,692;2,900;3,164;3,456;3,802;4,178;4,590;4,984
1,241;1,281;1,346;1,450;1,582;1,726;1,901;2,089;2,291;2,500;2,482;2,562;2,692;2,900;3,164;3,452;3,802;4,178;4,582;5,000
1,241;1,281;1,349;1,450;1,582;1,725;1,902;2,086;2,296;2,494;2,482;2,562;2,698;2,900;3,164;3,450;3,804;4,172;4,592;4,988
1,240;1,281;1,349;1,448;1,581;1,726;1,903;2,086;2,295;2,498;2,480;2,562;2,698;2,896;3,162;3,452;3,806;4,172;4,590;4,996
1,241;1,281;1,349;1,448;1,581;1,726;1,903;2,085;2,297;2,496;2,482;2,562;2,698;2,896;3,162;3,452;3,806;4,170;4,594;4,992
1,240;1,280;1,348;1,488;1,581;1,725;1,902;2,087;2,295;2,495;2,480;2,560;2,696;2,976;3,162;3,450;3,804;4,174;4,590;4,990
1,241;1,281;1,346;1,448;1,581;1,724;1,903;2,089;2,294;2,499;2,482;2,562;2,692;2,896;3,162;3,448;3,806;4,178;4,588;4,998
1,240;1,281;1,346;1,448;1,581;1,724;1,902;2,085;2,293;2,496;2,480;2,562;2,692;2,896;3,162;3,448;3,804;4,170;4,586;4,992
